ensembl_id,gene_symbol,entrez_id,refseq_id
ENSG00000006059,KRT33A,3883,NM_004138.4
ENSG00000006062,MAP3K14,9020,NM_003954.5
ENSG00000006071,ABCC8,6833,NM_000352.6
ENSG00000006074,CCL18,nan,nan
ENSG00000006075,CCL3,nan,nan
ENSG00000006114,SYNRG,nan,nan
ENSG00000006116,CACNG3,10368,NM_006539.4
ENSG00000006118,TMEM132A,54972,NM_017870.4
ENSG00000006125,AP2B1,163,NM_001030006.2
ENSG00000006128,TAC1,6863,NM_003182.3
ENSG00000006194,ZNF263,10127,NM_001411015.1
ENSG00000006210,CX3CL1,6376,NM_001304392.3
ENSG00000006282,SPATA20,64847,NM_001258372.2
ENSG00000006283,CACNA1G,8913,NM_001256324.2
ENSG00000006327,TNFRSF12A,51330,NM_016639.3
ENSG00000006377,DLX6,1750,NM_005222.4
ENSG00000006432,MAP3K9,4293,NM_001284230.2
ENSG00000006451,RALA,5898,NM_005402.4
ENSG00000006453,BAIAP2L1,55971,NM_018842.5
ENSG00000006459,JHDM1D,80853,NM_030647.2
ENSG00000006468,ETV1,2115,NM_001163147.2
ENSG00000006530,AGK,55750,NM_001364948.3
ENSG00000006534,ALDH3B1,221,NM_000694.4
ENSG00000006555,TTC22,55001,NM_001114108.2
ENSG00000006576,PHTF2,57157,NM_001127357.2
ENSG00000006606,CCL26,10344,NM_001371936.1
ENSG00000006607,FARP2,9855,NM_001282983.2
ENSG00000006611,USH1C,10083,NM_001297764.2
ENSG00000006625,GGCT,79017,NM_001199815.2
ENSG00000006634,DBF4,10926,NM_001318060.2
ENSG00000006638,TBXA2R,6915,NM_001060.6
ENSG00000006652,IFRD1,3475,NM_001007245.3
ENSG00000006659,LGALS14,56891,NM_020129.3
ENSG00000006695,COX10,1352,NM_001303.4
ENSG00000006704,GTF2IRD1,9569,NM_001199207.2
ENSG00000006712,PAF1,54623,NM_001256826.2
ENSG00000006715,VPS41,27072,NM_014396.4
ENSG00000006740,ARHGAP44,9912,NM_001321164.2
ENSG00000006744,ELAC2,60528,NM_001165962.2
ENSG00000006747,SCIN,85477,NM_001112706.3
ENSG00000006756,ARSD,414,NM_001669.4
ENSG00000006757,PNPLA4,8228,NM_001142389.2
ENSG00000006788,MYH13,8735,NM_003802.3
ENSG00000006831,ADIPOR2,79602,NM_001375363.1
ENSG00000006837,CDKL3,51265,NM_001113575.2
ENSG00000007001,UPP2,151531,NM_001135098.2
ENSG00000007038,PRSS21,10942,NM_001270452.2
ENSG00000007047,MARK4,57787,NM_001199867.2
ENSG00000007062,PROM1,8842,NM_001145847.2
ENSG00000007080,CCDC124,115098,NM_001136203.2
ENSG00000007129,CEACAM21,90273,NM_001098506.4
ENSG00000007168,PAFAH1B1,5048,NM_000430.4
ENSG00000007171,NOS2,4843,NM_000625.4
ENSG00000007174,DNAH9,1770,NM_001372.4
ENSG00000007202,KIAA0100,9703,NM_001321560.2
ENSG00000007216,SLC13A2,9058,NM_001145975.2
ENSG00000007237,GAS7,8522,NM_001130831.2
ENSG00000007255,TRAPPC6A,79090,NM_001270891.2
ENSG00000007264,MATK,4145,NM_002378.4
ENSG00000007306,CEACAM7,1087,NM_001291485.2
ENSG00000007312,CD79B,974,NM_000626.4
ENSG00000007314,SCN4A,6329,NM_000334.4
ENSG00000007341,ST7L,54879,NM_001308264.2
ENSG00000007350,TKTL1,8277,NM_001145933.2
ENSG00000007372,PAX6,5080,NM_000280.6
ENSG00000007376,RPUSD1,113000,NM_001324086.2
ENSG00000007384,RHBDF1,64285,NM_022450.5
ENSG00000007392,LUC7L,55692,NM_001320226.2
ENSG00000007402,CACNA2D2,9254,NM_001005505.3
ENSG00000007516,BAIAP3,8938,NM_001199096.2
ENSG00000007520,TSR3,115939,NM_001001410.3
ENSG00000007541,PIGQ,9091,NM_004204.5
ENSG00000007545,CRAMP1L,57585,NM_020825.4
ENSG00000007866,TEAD3,7005,NM_001395214.1
ENSG00000007908,SELE,6401,NM_000450.2
ENSG00000007923,DNAJC11,55735,NM_018198.4
ENSG00000007933,FMO3,2328,NM_001002294.3
ENSG00000007944,MYLIP,29116,NM_001436627.1
ENSG00000007952,NOX1,27035,NM_001271815.2
ENSG00000007968,E2F2,1870,NM_004091.4
ENSG00000008018,PSMB1,5689,NM_002793.4
ENSG00000008056,SYN1,6853,NM_006950.3
ENSG00000008083,JARID2,3720,NM_001267040.1
ENSG00000008086,CDKL5,6792,NM_001037343.2
ENSG00000008118,CAMK1G,57172,NM_020439.3
ENSG00000008128,CDK11A,728642,NM_001313896.2
ENSG00000008130,NADK,65220,NM_001198993.2
ENSG00000008196,TFAP2B,7021,NM_003221.4
ENSG00000008197,TFAP2D,83741,NM_172238.4
ENSG00000008226,DLEC1,9940,NM_001321153.2
ENSG00000008256,CYTH3,9265,NM_001367580.1
ENSG00000008277,ADAM22,53616,NM_001324417.2
ENSG00000008282,SYPL1,6856,NM_001381910.1
ENSG00000008283,CYB561,1534,NM_001017916.2
ENSG00000008294,SPAG9,9043,NM_001130527.3
ENSG00000008300,CELSR3,1951,NM_001407.3
ENSG00000008311,AASS,10157,NM_005763.4
ENSG00000008323,PLEKHG6,55200,NM_001144856.2
ENSG00000008324,SS18L2,51188,NM_001370300.1
ENSG00000008382,MPND,84954,NM_001159846.3
ENSG00000008394,MGST1,4257,NM_001260511.2
ENSG00000008405,CRY1,1407,NM_001413458.1
ENSG00000008438,PGLYRP1,8993,NM_005091.3
ENSG00000008441,NFIX,4784,NM_001271043.2
ENSG00000008513,ST3GAL1,6482,NM_003033.4
ENSG00000008516,MMP25,64386,NM_004142.1
ENSG00000008517,IL32,9235,NM_001012631.4
ENSG00000008710,PKD1,5310,NM_000296.4
ENSG00000008735,MAPK8IP2,23542,NM_012324.6
ENSG00000008838,MED24,9862,NM_001079518.2
ENSG00000008853,RHOBTB2,23221,NM_001160036.2
ENSG00000008869,HEATR5B,54497,NM_019024.3
ENSG00000008952,SEC62,7095,NM_003262.4
ENSG00000008988,RPS20,6224,NM_001023.4
ENSG00000009307,CSDE1,7812,NM_001007553.3
ENSG00000009335,UBE3C,9690,NM_014671.3
ENSG00000009413,REV3L,5980,NM_001286431.2
ENSG00000009694,TENM1,10178,NM_001163278.2
ENSG00000009709,PAX7,5081,NM_001135254.2
ENSG00000009724,MASP2,10747,NM_006610.4
ENSG00000009765,IYD,389434,NM_001164694.2
ENSG00000009780,FAM76A,199870,NM_001143912.2
ENSG00000009790,TRAF3IP3,80342,NM_001287754.2
ENSG00000009830,POMT2,29954,NM_013382.7
ENSG00000009844,VTA1,51534,NM_001286371.2
ENSG00000009950,MLXIPL,51085,NM_032951.3
ENSG00000009954,BAZ1B,9031,NM_001370402.1
ENSG00000010017,RANBP9,10048,NM_005493.3
ENSG00000010030,ETV7,51513,NM_001207035.2
ENSG00000010072,SPRTN,83932,NM_001010984.4
ENSG00000010165,METTL13,51603,NM_001007239.2
ENSG00000010219,DYRK4,8798,NM_001282285.3
ENSG00000010244,ZNF207,7756,NM_001032293.3
ENSG00000010256,UQCRC1,7384,NM_003365.3
ENSG00000010270,STARD3NL,83930,NM_001363339.2
ENSG00000010278,CD9,928,NM_001330312.2
ENSG00000010282,HHATL,57467,NM_020707.4
ENSG00000010292,NCAPD2,9918,NM_014865.4
ENSG00000010295,IFFO1,25900,NM_001039670.3
ENSG00000010310,GIPR,2696,NM_000164.4
ENSG00000010318,PHF7,51533,NM_001278221.3
ENSG00000010319,SEMA3G,56920,NM_020163.3
ENSG00000010322,NISCH,11188,NM_001276293.2
ENSG00000010327,STAB1,23166,NM_015136.3
ENSG00000010361,FUZ,80199,NM_001171937.2
ENSG00000010379,SLC6A13,6540,NM_001190997.3
ENSG00000010404,IDS,3423,NM_000202.8
ENSG00000010438,PRSS3,5646,NM_001197097.3
ENSG00000010539,ZNF200,7752,NM_001145446.2
ENSG00000010610,CD4,920,NM_000616.5
ENSG00000010626,LRRC23,10233,NM_001135217.2
ENSG00000010671,BTK,695,NM_000061.3
ENSG00000010704,HFE,3077,NM_000410.4
ENSG00000010803,SCMH1,22955,NM_001031694.3
ENSG00000010810,FYN,2534,NM_001242779.1
ENSG00000010818,HIVEP2,3097,NM_001438449.1
ENSG00000010932,FMO1,2326,NM_001282692.1
ENSG00000011007,TCEB3,6924,NM_003198.3
ENSG00000011009,LYPLA2,11313,NM_007260.3
ENSG00000011021,CLCN6,1185,NM_001256959.2
ENSG00000011028,MRC2,9902,NM_006039.5
ENSG00000011052,NME2,654364,NM_001018136.3
ENSG00000011083,SLC6A7,6534,NM_014228.5
ENSG00000011105,TSPAN9,10867,NM_001168320.2
ENSG00000011114,BTBD7,55727,NM_001002860.4
ENSG00000011132,APBA3,9546,NM_004886.4
ENSG00000011143,MKS1,54903,NM_001165927.1
ENSG00000011198,ABHD5,51099,NM_001355186.2
ENSG00000011201,ANOS1,3730,NM_000216.4
ENSG00000011243,AKAP8L,26993,NM_001291478.2
ENSG00000011258,MBTD1,54799,NM_017643.3
ENSG00000011260,UTP18,51096,NM_016001.3
ENSG00000011275,RNF216,54476,NM_001377156.1
ENSG00000011295,TTC19,54902,NM_001271420.2
ENSG00000011304,PTBP1,5725,NM_001411140.1
ENSG00000011332,DPF1,8193,NM_001135155.3
ENSG00000011347,SYT7,9066,NM_001252065.2
ENSG00000011376,LARS2,23395,NM_001368263.1
