ensembl_id,gene_symbol,entrez_id,refseq_id
ENSG00000199308,RNU6-222P,106479665,nan
ENSG00000199311,SNORD115-34,100033808,NR_003349.1
ENSG00000199313,RNU4-82P,106481198,nan
ENSG00000199315,RNA5SP347,100873609,nan
ENSG00000199318,RNA5SP52,100873290,nan
ENSG00000199319,RN7SKP25,nan,nan
ENSG00000199321,SNORD60,124900294,XR_007062400.1
ENSG00000199322,RNA5SP183,100873445,nan
ENSG00000199325,RNU4-39P,106479575,nan
ENSG00000199326,RNU6-1298P,106481590,nan
ENSG00000199327,RNU6-230P,106479669,nan
ENSG00000199331,Y_RNA,nan,nan
ENSG00000199332,Y_RNA,nan,nan
ENSG00000199334,RNA5S11,100169762,NR_023373.1
ENSG00000199335,RNU6-204P,106481241,nan
ENSG00000199337,RNA5S3,100169754,NR_023365.1
ENSG00000199347,RNU5E-1,26829,NR_002754.2
ENSG00000199348,RNU6-766P,106481422,nan
ENSG00000199349,Y_RNA,nan,nan
ENSG00000199350,RNA5SP432,100873682,nan
ENSG00000199352,RNA5S1,100169751,NR_023363.1
ENSG00000199354,RNA5SP273,100873526,nan
ENSG00000199357,Y_RNA,nan,nan
ENSG00000199360,RNU6-1115P,106480639,nan
ENSG00000199361,RNU1-150P,106480413,nan
ENSG00000199362,Y_RNA,nan,nan
ENSG00000199363,SNORA63,109617007,NR_145763.1
ENSG00000199364,RNA5SP327,100873593,nan
ENSG00000199366,Y_RNA,nan,nan
ENSG00000199368,RNU6-1084P,106480042,nan
ENSG00000199370,U3,124901859,XR_007060686.1
ENSG00000199373,RNA5SP453,100873698,nan
ENSG00000199377,RNU5F-1,26828,NR_002753.5
ENSG00000199378,Y_RNA,nan,nan
ENSG00000199381,RNU6-79P,100873779,nan
ENSG00000199385,RNU6-369P,106479730,nan
ENSG00000199390,SNORD114-7,767583,NR_003199.1
ENSG00000199392,SNORA25,124900408,nan
ENSG00000199394,RNU6-600P,106479831,nan
ENSG00000199395,RNA5SP93,100873326,nan
ENSG00000199396,RNA5S5,100169756,NR_023367.1
ENSG00000199398,Y_RNA,nan,nan
ENSG00000199400,RNY4P19,100169834,nan
ENSG00000199402,RNA5SP308,100873582,nan
ENSG00000199404,RNA5SP250,nan,nan
ENSG00000199405,SNORA1,109617001,NR_145767.1
ENSG00000199407,RNA5SP301,100873576,nan
ENSG00000199409,Y_RNA,nan,nan
ENSG00000199410,Y_RNA,nan,nan
ENSG00000199411,SNORD62,124902338,XR_007061912.1
ENSG00000199415,RNA5SP370,nan,nan
ENSG00000199420,RN7SKP170,nan,nan
ENSG00000199422,VTRNA3-1P,100144435,nan
ENSG00000199424,Y_RNA,nan,nan
ENSG00000199426,RNU1-108P,106481957,nan
ENSG00000199432,Y_RNA,nan,nan
ENSG00000199436,SNORD9,692053,NR_003029.2
ENSG00000199440,Y_RNA,nan,nan
ENSG00000199442,Y_RNA,nan,nan
ENSG00000199444,Y_RNA,nan,nan
ENSG00000199446,RNU6-543P,106479807,nan
ENSG00000199448,RNU6-845P,106479940,nan
ENSG00000199450,RNA5SP276,100873529,nan
ENSG00000199453,SNORD115-12,100033449,NR_003304.1
ENSG00000199454,RNA5SP388,100873642,nan
ENSG00000199455,RNA5SP191,100873453,nan
ENSG00000199458,RNU4-35P,106481182,nan
ENSG00000199459,Y_RNA,nan,nan
ENSG00000199460,RNU6-1216P,106480098,nan
ENSG00000199461,Y_RNA,nan,nan
ENSG00000199466,Y_RNA,nan,nan
ENSG00000199468,RNU6-556P,106481357,nan
ENSG00000199469,RNU1-62P,106481613,nan
ENSG00000199470,SNORA64,124900237,XR_007060652.1
ENSG00000199471,Y_RNA,nan,nan
ENSG00000199472,Y_RNA,nan,nan
ENSG00000199473,SNORA63,nan,nan
ENSG00000199474,SNORA27,124900378,XR_007065227.1
ENSG00000199475,RN7SKP104,106480865,nan
ENSG00000199476,Y_RNA,nan,nan
ENSG00000199477,SNORA31,677814,NR_002967.1
ENSG00000199480,RNA5SP389,nan,nan
ENSG00000199482,RNU6-633P,106481381,nan
ENSG00000199483,RNU4-15P,106479565,nan
ENSG00000199487,Y_RNA,nan,nan
ENSG00000199488,RNU1-70P,107105264,nan
ENSG00000199489,SNORD115-25,100033801,NR_003342.1
ENSG00000199490,Y_RNA,nan,nan
ENSG00000199492,RNU6-1313P,106480139,nan
ENSG00000199497,RNU1-94P,106481956,nan
ENSG00000199506,RNU6-247P,106479676,nan
ENSG00000199508,RNA5SP110,100873380,nan
ENSG00000199509,RNA5SP477,100873719,nan
ENSG00000199512,RNU6-212P,106481243,nan
ENSG00000199514,RNU6-235P,106479671,nan
ENSG00000199515,Y_RNA,nan,nan
ENSG00000199516,Y_RNA,nan,nan
ENSG00000199520,RNU6-386P,106481300,nan
ENSG00000199523,RNA5SP226,nan,nan
ENSG00000199525,RNA5SP295,100873548,nan
ENSG00000199529,RNU6-462P,106479770,nan
ENSG00000199530,Y_RNA,nan,nan
ENSG00000199535,RNA5SP305,100873579,nan
ENSG00000199536,RNU6-315P,106479707,nan
ENSG00000199540,Y_RNA,nan,nan
ENSG00000199545,RNA5SP195,100873457,nan
ENSG00000199546,Y_RNA,nan,nan
ENSG00000199550,Y_RNA,nan,nan
ENSG00000199551,RNU6-545P,106479808,nan
ENSG00000199552,SNORA63,124900196,XR_007059145.1
ENSG00000199556,RNA5SP361,100873620,nan
ENSG00000199562,RNU6-37P,106478920,nan
ENSG00000199564,RNA5SP502,100873553,nan
ENSG00000199565,Y_RNA,nan,nan
ENSG00000199566,SNORA64,124900322,XR_007063625.1
ENSG00000199567,Y_RNA,nan,nan
ENSG00000199568,RNU5A-1,26831,NR_002756.2
ENSG00000199570,RNU6-228P,106479668,nan
ENSG00000199571,SNORA22,124900327,XR_007063630.1
ENSG00000199572,RNA5SP174,106478998,nan
ENSG00000199574,SNORD18C,595100,NR_002443.1
ENSG00000199575,SNORD114-1,767577,NR_003193.1
ENSG00000199577,RNU6-822P,106479930,nan
ENSG00000199580,Y_RNA,nan,nan
ENSG00000199584,Y_RNA,nan,nan
ENSG00000199585,RNA5SP119,100873389,nan
ENSG00000199591,Y_RNA,nan,nan
ENSG00000199592,RNA5SP321,100873587,nan
ENSG00000199593,SNORD114-14,767592,NR_003207.1
ENSG00000199594,RNU6-1301P,106481591,nan
ENSG00000199595,Y_RNA,nan,nan
ENSG00000199598,RNU6-859P,106481452,nan
ENSG00000199601,RNU6-562P,106479816,nan
ENSG00000199603,RNU6-951P,106481480,nan
ENSG00000199605,RNY4P24,100862664,nan
ENSG00000199609,RNA5SP124,100873394,nan
ENSG00000199620,RNA5SP258,100873512,nan
ENSG00000199622,RN7SKP20,nan,nan
ENSG00000199626,RNU6-989P,106481492,nan
ENSG00000199627,RNU6-1010P,106481929,nan
ENSG00000199629,RNU1-14P,26859,nan
ENSG00000199630,Y_RNA,nan,nan
ENSG00000199631,SNORD33,26818,NR_000020.1
ENSG00000199633,SNORA63,nan,nan
ENSG00000199634,RNU4-79P,106481197,nan
ENSG00000199635,Y_RNA,nan,nan
ENSG00000199636,Y_RNA,nan,nan
ENSG00000199638,RNA5SP319,100873585,nan
ENSG00000199640,RN7SKP294,nan,nan
ENSG00000199641,Y_RNA,nan,nan
ENSG00000199643,RNU4-90P,106479600,nan
ENSG00000199645,RNU6-1330P,106480411,nan
ENSG00000199646,RNU6-1272P,106480121,nan
ENSG00000199652,RNU1-35P,106480157,nan
ENSG00000199654,RNA5SP357,nan,nan
ENSG00000199664,RNU6-1266P,106480118,nan
ENSG00000199666,U3,109616984,NR_145742.1
ENSG00000199667,Y_RNA,nan,nan
ENSG00000199668,Y_RNA,nan,nan
ENSG00000199672,RNU4-21P,106481178,nan
ENSG00000199673,SNORD16,595097,NR_002440.1
ENSG00000199674,RNU6-862P,106481920,nan
ENSG00000199676,Y_RNA,nan,nan
ENSG00000199677,Y_RNA,nan,nan
ENSG00000199678,RNY4P5,nan,nan
ENSG00000199683,RN7SKP185,106479178,nan
ENSG00000199687,RNU1-38P,106481608,nan
ENSG00000199691,RN7SKP173,nan,nan
ENSG00000199695,RNU6-1128P,106480062,nan
ENSG00000199697,RNU6-446P,106481319,nan
ENSG00000199698,Y_RNA,nan,nan
ENSG00000199700,RNU6-223P,106481248,nan
ENSG00000199701,Y_RNA,nan,nan
ENSG00000199702,RNU6-170P,106479641,nan
ENSG00000199704,SNORD115-29,100033803,NR_003344.1
ENSG00000199705,Y_RNA,nan,nan
ENSG00000199709,RNU4-23P,106479568,nan
ENSG00000199710,Y_RNA,nan,nan
ENSG00000199711,Y_RNA,nan,nan
ENSG00000199712,SNORD115-2,100033437,NR_003294.1
ENSG00000199713,U8,124900406,XR_007066479.1
ENSG00000199715,Y_RNA,nan,nan
ENSG00000199716,Y_RNA,nan,nan
ENSG00000199719,RN7SKP74,nan,nan
ENSG00000199727,U3,nan,nan
ENSG00000199728,RNU6-655P,106479856,nan
ENSG00000199730,RN7SKP95,nan,nan
ENSG00000199731,RNU6-1079P,106480040,nan
ENSG00000199732,Y_RNA,nan,nan
ENSG00000199733,RNA5SP307,100873581,nan
ENSG00000199735,RNU6-227P,106481883,nan
ENSG00000199739,RNU6-552P,106481356,nan
ENSG00000199740,Y_RNA,nan,nan
ENSG00000199744,SNORD36A,26815,NR_002448.1
ENSG00000199751,Y_RNA,nan,nan
ENSG00000199753,SNORD104,692227,NR_004380.1
ENSG00000199755,Y_RNA,nan,nan
ENSG00000199756,Y_RNA,nan,nan
ENSG00000199762,Y_RNA,nan,nan
ENSG00000199764,Y_RNA,nan,nan
ENSG00000199765,RNU6-363P,106479727,nan
ENSG00000199767,RNU6-78P,100873778,NR_046944.1
ENSG00000199769,U3,nan,nan
ENSG00000199771,RNA5SP426,100873677,nan
ENSG00000199773,RNU1-76P,106481617,nan
ENSG00000199780,Y_RNA,nan,nan
ENSG00000199781,Y_RNA,nan,nan
ENSG00000199782,SNORD115-9,100033446,NR_003301.1
ENSG00000199783,SNORD56,124900481,XR_007068171.1
ENSG00000199784,RNU6-1287P,106480127,nan
ENSG00000199785,SNORA52,619565,NR_002585.1
ENSG00000199786,RNA5SP188,nan,nan
ENSG00000199787,SNORA42,109616959,NR_145731.1
ENSG00000199788,RNY3P2,100862668,nan
ENSG00000199790,RNU6-836P,106481918,nan
ENSG00000199791,RNU6-451P,106479765,nan
ENSG00000199792,RNU6-1233P,106481569,nan
ENSG00000199796,RNU6-924P,106480621,nan
ENSG00000199797,Y_RNA,nan,nan
ENSG00000199798,SNORD114-5,767581,NR_003197.1
ENSG00000199801,Y_RNA,nan,nan
ENSG00000199803,RNU6-1159P,106481939,nan
ENSG00000199804,RNA5SP383,100873638,nan
ENSG00000199805,RNU1-134P,106480194,nan
ENSG00000199806,RNA5SP491,100873733,nan
ENSG00000199809,RNA5SP374,100873632,nan
ENSG00000199812,RNU6-428P,106481894,nan
ENSG00000199814,RNU6-1260P,106481578,nan
ENSG00000199815,SNORA43,nan,nan
ENSG00000199824,RNU6-199P,106481881,nan
ENSG00000199827,RNU6-1290P,106480129,nan
ENSG00000199831,RN7SKP291,nan,nan
ENSG00000199832,Y_RNA,nan,nan
ENSG00000199833,SNORD115-21,100033603,NR_003313.1
ENSG00000199836,RNU1-47P,106480161,nan
ENSG00000199837,RNA5SP71,nan,nan
ENSG00000199839,RNA5SP150,100873416,nan
ENSG00000199840,Y_RNA,nan,nan
ENSG00000199843,RNA5SP358,100873617,nan
ENSG00000199845,RNA5SP375,100873633,nan
ENSG00000199846,RNU1-72P,106481955,nan
ENSG00000199849,RNU5F-6P,100873833,nan
ENSG00000199851,U3,124901506,XR_007059937.1
ENSG00000199855,RNU6-490P,106479783,nan
ENSG00000199856,U3,124904381,XR_007066495.1
ENSG00000199857,SNORD50,124900891,XR_007058526.1
ENSG00000199858,RNU6-1120P,106480059,nan
ENSG00000199859,RNU6-582P,106481365,nan
ENSG00000199862,Y_RNA,nan,nan
ENSG00000199865,RNU6-495P,106481337,nan
ENSG00000199866,Y_RNA,nan,nan
ENSG00000199867,Y_RNA,nan,nan
ENSG00000199870,Y_RNA,nan,nan
ENSG00000199872,RNU6-942P,106481477,nan
ENSG00000199874,RNA5SP452,100873697,nan
ENSG00000199875,Y_RNA,nan,nan
ENSG00000199876,RN7SKP131,nan,nan
ENSG00000199878,RN7SKP149,nan,nan
ENSG00000199879,RNU1-120P,106481627,nan
ENSG00000199880,RNU6-888P,nan,nan
ENSG00000199881,Y_RNA,nan,nan
ENSG00000199883,RN7SKP90,nan,nan
ENSG00000199884,Y_RNA,nan,nan
ENSG00000199885,RNU6-330P,106481283,nan
ENSG00000199886,RNU6-249P,106479677,nan
ENSG00000199890,Y_RNA,nan,nan
ENSG00000199892,RNU1-17P,100873814,nan
ENSG00000199894,snoU2_19,124900892,XR_007058530.1
ENSG00000199895,Y_RNA,nan,nan
ENSG00000199899,Y_RNA,nan,nan
ENSG00000199900,RNA5SP463,nan,nan
ENSG00000199901,Y_RNA,nan,nan
ENSG00000199903,RNU6-1273P,106481947,nan
ENSG00000199905,RNU6-492P,106481335,nan
ENSG00000199906,RNU5B-2P,nan,nan
ENSG00000199910,RNA5S10,100169761,NR_023372.1
ENSG00000199911,Y_RNA,nan,nan
ENSG00000199912,Y_RNA,nan,nan
ENSG00000199913,Y_RNA,nan,nan
ENSG00000199914,SNORD114-16,767594,NR_003209.1
ENSG00000199920,RNU4-44P,106479578,nan
ENSG00000199921,RNU6-161P,106480387,nan
ENSG00000199924,RNU6-1252P,106480113,nan
ENSG00000199927,U3,124906377,XR_007074196.1
ENSG00000199929,RNA5SP405,100873657,nan
ENSG00000199932,RNU1-18P,100873815,nan
ENSG00000199933,Y_RNA,106480312,nan
ENSG00000199934,SNORD81,124900422,XR_007067365.1
ENSG00000199936,Y_RNA,nan,nan
ENSG00000199938,Y_RNA,nan,nan
ENSG00000199940,RN7SKP75,106480856,nan
ENSG00000199942,SNORD114-19,767597,NR_003212.1
ENSG00000199944,RNU6-653P,106480397,nan
ENSG00000199949,Y_RNA,nan,nan
ENSG00000199953,RNA5SP443,106481745,nan
ENSG00000199959,SNORA2,124904808,XR_007067394.1
ENSG00000199960,SNORD115-14,100033451,NR_003306.1
ENSG00000199961,SNORD1B,677849,NR_004396.1
ENSG00000199962,Y_RNA,nan,nan
ENSG00000199963,RNU6-605P,106481372,nan
ENSG00000199964,Y_RNA,nan,nan
ENSG00000199968,SNORD115-19,100033458,NR_003311.1
ENSG00000199970,SNORD115-3,100033440,NR_003295.1
ENSG00000199971,RNU6-797P,106479918,nan
ENSG00000199975,RN7SKP243,nan,nan
ENSG00000199977,SNORA73,124904362,XR_007066476.1
ENSG00000199979,Y_RNA,nan,nan
ENSG00000199980,Y_RNA,nan,nan
ENSG00000199985,RNA5SP264,100873517,nan
ENSG00000199986,RNU6-486P,106481898,nan
ENSG00000199990,VTRNA1-1,56664,NR_026703.1
ENSG00000199994,RNA5SP145,100873412,nan
ENSG00000200003,RNU6-986P,106481491,nan
ENSG00000200008,Y_RNA,nan,nan
ENSG00000200011,Y_RNA,nan,nan
ENSG00000200013,RNU6-623P,106481378,nan
ENSG00000200021,RNA5SP448,106479015,nan
ENSG00000200024,Y_RNA,nan,nan
ENSG00000200026,U8,124900277,XR_007061911.1
ENSG00000200028,RNA5SP98,100873331,nan
ENSG00000200029,RNU6-642P,106481384,nan
ENSG00000200033,RNU6-403P,106480578,nan
ENSG00000200034,RNU4-73P,106481195,nan
ENSG00000200036,RNA5SP65,100873300,nan
ENSG00000200037,RNA5SP32,nan,nan
ENSG00000200040,Y_RNA,nan,nan
ENSG00000200041,Y_RNA,nan,nan
ENSG00000200042,U3,nan,nan
ENSG00000200047,RN7SKP115,106479146,nan
ENSG00000200048,RNU6-812P,106479926,nan
ENSG00000200049,Y_RNA,nan,nan
ENSG00000200051,SNORD45,124901194,nan
ENSG00000200052,Y_RNA,nan,nan
ENSG00000200057,RN7SKP63,nan,nan
ENSG00000200058,RNA5SP218,100873478,nan
ENSG00000200059,Y_RNA,nan,nan
ENSG00000200060,Y_RNA,nan,nan
ENSG00000200062,RNU4-58P,106481190,nan
ENSG00000200063,SNORA30,124900399,XR_007065992.1
ENSG00000200064,RNY4P9,100379300,nan
ENSG00000200065,Y_RNA,nan,nan
ENSG00000200066,Y_RNA,nan,nan
ENSG00000200070,RNU4-80P,106480386,nan
ENSG00000200072,SNORD44,124900341,XR_007063953.1
ENSG00000200075,SNORA25,124900265,nan
ENSG00000200079,RNA5SP326,100873592,nan
ENSG00000200084,SNORD68,nan,nan
ENSG00000200085,Y_RNA,nan,nan
ENSG00000200086,RNU6-433P,106481315,nan
ENSG00000200087,SNORA73B,26768,NR_004404.2
ENSG00000200089,SNORD114-31,767612,NR_003224.1
ENSG00000200090,Y_RNA,nan,nan
ENSG00000200091,RN7SKP163,nan,nan
ENSG00000200095,RNU6-181P,106480559,nan
ENSG00000200097,RNU6-1167P,106480407,nan
ENSG00000200101,RNU6-508P,106480585,nan
ENSG00000200102,RNU6-252P,106480564,nan
ENSG00000200105,RNU6-251P,106481257,nan
ENSG00000200106,RNU6-984P,106481927,nan
ENSG00000200107,RNU6-1249P,106480652,nan
ENSG00000200108,RNU6-774P,106481425,nan
ENSG00000200112,SNORD56,124900323,XR_007063626.1
ENSG00000200113,SNORA51,124900242,nan
ENSG00000200114,RNA5SP123,100873393,nan
ENSG00000200115,RNA5SP440,nan,nan
ENSG00000200118,Y_RNA,nan,nan
ENSG00000200120,Y_RNA,nan,nan
ENSG00000200121,Y_RNA,nan,nan
ENSG00000200127,Y_RNA,nan,nan
ENSG00000200130,SNORA63,nan,nan
ENSG00000200131,RN7SKP77,nan,nan
ENSG00000200132,RNU6-1021P,106481930,nan
ENSG00000200135,Y_RNA,nan,nan
ENSG00000200138,Y_RNA,106480308,nan
ENSG00000200139,RNU6-778P,106479910,nan
ENSG00000200141,Y_RNA,nan,nan
ENSG00000200142,Y_RNA,nan,nan
ENSG00000200146,RNU6-544P,106481353,nan
ENSG00000200150,SNORD113,124903418,XR_007064396.1
ENSG00000200151,RN7SKP231,106479198,nan
ENSG00000200152,RNU6-216P,106479662,nan
ENSG00000200153,RNU6-23P,100873755,nan
ENSG00000200154,SNORD103A,nan,nan
ENSG00000200156,RNU5B-1,26832,NR_002757.3
ENSG00000200161,RN7SKP145,106480878,nan
ENSG00000200162,Y_RNA,nan,nan
ENSG00000200163,SNORD115-18,100033456,NR_003310.1
ENSG00000200164,Y_RNA,nan,nan
ENSG00000200168,RNA5SP350,106481794,nan
ENSG00000200169,RNU5D-1,26830,NR_002755.3
ENSG00000200170,Y_RNA,nan,nan
ENSG00000200171,Y_RNA,nan,nan
ENSG00000200174,Y_RNA,nan,nan
ENSG00000200175,RNU6-1309P,106480410,nan
ENSG00000200176,RNU1-19P,100873861,nan
ENSG00000200179,Y_RNA,nan,nan
ENSG00000200181,SNORD85,nan,nan
ENSG00000200183,RNU6-238P,106481253,nan
ENSG00000200184,RNU1-20P,100873816,nan
ENSG00000200189,RNU6-832P,106479934,nan
ENSG00000200191,U8,124900257,XR_007061199.1
ENSG00000200197,RNU1-21P,100873862,nan
ENSG00000200198,RN7SKP211,nan,nan
ENSG00000200201,Y_RNA,nan,nan
ENSG00000200204,RNU1-22P,100873863,nan
ENSG00000200206,SNORD74,124900360,nan
ENSG00000200208,Y_RNA,nan,nan
ENSG00000200209,Y_RNA,nan,nan
ENSG00000200211,RNY4P27,100873821,nan
ENSG00000200213,RNU6-992P,106481493,nan
ENSG00000200215,SNORD113-6,767566,NR_003234.1
ENSG00000200216,RNU6-745P,106481415,nan
ENSG00000200217,RNU6-839P,106481446,nan
ENSG00000200218,RNU6-697P,106479874,nan
ENSG00000200220,RNU6-179P,106479646,nan
ENSG00000200222,U3,124906380,XR_007074199.1
ENSG00000200224,RNU6-626P,106481379,nan
ENSG00000200225,RNA5SP382,100873637,nan
ENSG00000200227,RNA5SP197,100873459,nan
ENSG00000200231,RNU1-23P,106478980,nan
ENSG00000200235,SNORA27,124900208,XR_007059157.1
ENSG00000200237,SNORA70,124900430,XR_007067385.1
ENSG00000200238,RNA5SP133,100873402,nan
ENSG00000200241,Y_RNA,nan,nan
ENSG00000200243,RN7SKP79,nan,nan
ENSG00000200246,RNA5SP263,106479002,nan
ENSG00000200247,RNU6-254P,106479679,nan
ENSG00000200248,RNA5SP214,100873474,nan
ENSG00000200250,RNU6-1147P,106480071,nan
ENSG00000200252,Y_RNA,nan,nan
ENSG00000200253,RNU6-529P,106481348,nan
ENSG00000200254,RNU6-536P,106481350,nan
ENSG00000200256,Y_RNA,nan,nan
ENSG00000200257,RNU6-97P,106480551,nan
ENSG00000200259,SNORD35A,26816,NR_000018.1
ENSG00000200261,Y_RNA,nan,nan
ENSG00000200262,Y_RNA,nan,nan
ENSG00000200267,RNU6-66P,100873770,nan
ENSG00000200269,RNU6-838P,106479937,nan
ENSG00000200270,Y_RNA,nan,nan
ENSG00000200274,RNU4-32P,106479572,nan
ENSG00000200275,RNA5SP199,106480438,nan
ENSG00000200278,RNA5SP352,100873612,nan
ENSG00000200279,SNORD114-10,767588,NR_003203.1
ENSG00000200281,RNU6-624P,106479842,nan
ENSG00000200283,Y_RNA,nan,nan
ENSG00000200287,Y_RNA,nan,nan
ENSG00000200288,SNORA18,124900562,XR_007074166.1
ENSG00000200291,Y_RNA,nan,nan
ENSG00000200293,RNA5SP393,100873646,nan
ENSG00000200294,SNORA36,124902572,XR_007062402.1
ENSG00000200295,RNU6-527P,106480587,nan
ENSG00000200296,RNU1-83P,106480176,nan
ENSG00000200298,Y_RNA,nan,nan
ENSG00000200301,RNA5SP483,100873725,nan
ENSG00000200303,RNU6-940P,106479982,nan
ENSG00000200304,RNU6-1255P,nan,nan
ENSG00000200305,Y_RNA,nan,nan
ENSG00000200309,Y_RNA,nan,nan
ENSG00000200310,RNA5SP215,100873475,nan
ENSG00000200312,RN7SKP255,nan,nan
ENSG00000200313,RNA5-8SP7,100873573,nan
ENSG00000200314,Y_RNA,nan,nan
ENSG00000200318,U3,6068,nan
ENSG00000200320,SNORA63,6043,NR_002586.1
ENSG00000200325,Y_RNA,nan,nan
ENSG00000200326,RNA5SP391,100873644,nan
ENSG00000200327,RNA5SP62,100873297,nan
ENSG00000200331,RNU6-183P,106481234,nan
ENSG00000200332,Y_RNA,nan,nan
ENSG00000200334,Y_RNA,nan,nan
ENSG00000200336,RNA5SP333,106480763,nan
ENSG00000200338,RNU1-49P,106480162,nan
ENSG00000200340,RNU1-105P,106480185,nan
ENSG00000200343,RNA5S8,100169759,NR_023370.1
ENSG00000200344,Y_RNA,nan,nan
ENSG00000200345,RNU6-485P,106481333,nan
ENSG00000200347,RNU6-963P,nan,nan
ENSG00000200350,RNU6-1285P,106481948,nan
ENSG00000200351,Y_RNA,nan,nan
ENSG00000200354,SNORA71D,677840,NR_003018.2
ENSG00000200355,SNORA72,124900555,XR_007074157.1
ENSG00000200356,RNU6-833P,106481444,nan
ENSG00000200360,RNU6-792P,106481431,nan
ENSG00000200361,Y_RNA,nan,nan
ENSG00000200366,RNU6-511P,106479793,nan
ENSG00000200367,SNORD113-8,767568,NR_003236.1
ENSG00000200369,RNU6-666P,106480600,nan
ENSG00000200370,RNA5S17,100169768,NR_023379.1
ENSG00000200372,RNU5E-8P,100873837,nan
ENSG00000200376,RNU5E-10P,100873888,nan
ENSG00000200377,SNORD56,124900522,XR_007073044.1
ENSG00000200378,RNU5B-4P,100147752,nan
ENSG00000200379,RN7SKP45,nan,nan
ENSG00000200381,RNA5S4,100169755,NR_023366.1
ENSG00000200385,SNORA42,nan,nan
ENSG00000200388,RNU6-618P,106481376,nan
ENSG00000200389,RNU6-509P,106479792,nan
ENSG00000200390,Y_RNA,nan,nan
ENSG00000200391,Y_RNA,nan,nan
ENSG00000200393,RNU6-698P,106481401,nan
ENSG00000200394,SNORA38B,100124536,NR_003706.2
ENSG00000200397,Y_RNA,nan,nan
ENSG00000200398,SNORD115-24,100036563,NR_003495.1
ENSG00000200403,RNU6-1099P,106481526,nan
ENSG00000200406,SNORD114-23,767603,NR_003216.1
ENSG00000200407,RNU6-1169P,106480080,nan
ENSG00000200408,RNA5SP74,100873308,nan
ENSG00000200411,RNA5SP346,100873608,nan
ENSG00000200413,SNORD114-26,767606,NR_003219.1
ENSG00000200418,SNORA63,109617006,NR_145766.1
ENSG00000200419,Y_RNA,nan,nan
ENSG00000200421,Y_RNA,nan,nan
ENSG00000200422,SNORD45,124905267,nan
ENSG00000200424,RNU6-1155P,106481544,nan
ENSG00000200427,Y_RNA,nan,nan
ENSG00000200428,Y_RNA,nan,nan
ENSG00000200431,RNU4-81P,106479595,nan
ENSG00000200432,Y_RNA,nan,nan
ENSG00000200434,RNA5-8SP2,100873571,nan
ENSG00000200436,Y_RNA,nan,nan
ENSG00000200437,RNU6-799P,107105254,nan
ENSG00000200443,RNU6-1066P,106480035,nan
ENSG00000200444,RNU6-1339P,106481603,nan
ENSG00000200446,RNU6-1085P,106480043,nan
ENSG00000200448,Y_RNA,nan,nan
ENSG00000200455,RNU6-1112P,106480055,nan
ENSG00000200456,RNU6-1097P,106480048,nan
ENSG00000200462,RNU6-727P,106481409,nan
ENSG00000200463,SNORD118,727676,NR_033294.2
ENSG00000200468,RNA5SP403,106479012,nan
ENSG00000200469,RNU6-112P,107057647,nan
ENSG00000200471,RNU6-1125P,106480061,nan
ENSG00000200472,RN7SKP44,106479114,nan
ENSG00000200473,RNA5SP507,100873558,nan
ENSG00000200475,RN7SKP162,nan,nan
ENSG00000200478,SNORD115-41,100033815,NR_003356.1
ENSG00000200480,SNORD114-28,767609,NR_003221.1
ENSG00000200483,RNU6-1017P,106480014,nan
ENSG00000200484,RNU6-1244P,106481945,nan
ENSG00000200485,Y_RNA,nan,nan
ENSG00000200486,SNORD115-11,100033448,NR_003303.1
ENSG00000200487,RNA5SP322,100873588,nan
ENSG00000200488,RN7SKP203,nan,nan
ENSG00000200492,U3,124901505,XR_007059936.1
ENSG00000200494,Y_RNA,nan,nan
ENSG00000200495,RNU6-1205P,106480093,nan
ENSG00000200496,U8,124900305,XR_007063000.1
ENSG00000200502,Y_RNA,nan,nan
ENSG00000200503,SNORD115-5,100033442,NR_003297.1
ENSG00000200506,Y_RNA,nan,nan
ENSG00000200508,Y_RNA,nan,nan
ENSG00000200510,RNY4P2,nan,nan
ENSG00000200516,RNA5SP378,100873634,nan
ENSG00000200520,RNU6-1214P,106481781,nan
ENSG00000200521,Y_RNA,nan,nan
ENSG00000200522,RNU6-957P,106479989,nan
ENSG00000200525,RNU6-1209P,106480095,nan
ENSG00000200526,RNY4P14,100379584,nan
ENSG00000200527,RNA5SP457,100873702,nan
ENSG00000200528,RNU6-1331P,106480147,nan
ENSG00000200530,SNORD35B,84546,NR_001285.1
ENSG00000200534,SNORA33,594839,NR_002436.1
ENSG00000200536,SNORA25,124900436,nan
ENSG00000200537,RNY4P6,100379287,nan
ENSG00000200538,U3,124904151,XR_007066021.1
ENSG00000200544,Y_RNA,nan,nan
ENSG00000200545,U3,124902595,XR_007062424.1
ENSG00000200547,Y_RNA,nan,nan
ENSG00000200550,RNU6-137P,106481220,nan
ENSG00000200552,Y_RNA,nan,nan
ENSG00000200553,Y_RNA,nan,nan
ENSG00000200554,RNU6-1020P,106481503,nan
ENSG00000200555,RNU6-525P,106479799,nan
ENSG00000200556,RNU6-103P,106480552,nan
ENSG00000200558,RNA5SP429,106480767,nan
ENSG00000200560,RNU6-288P,106479694,nan
ENSG00000200563,RNU6-640P,106479850,nan
ENSG00000200564,SNORD115-39,100033813,NR_003354.1
ENSG00000200566,RNU5F-7P,100873834,nan
ENSG00000200570,RNU6-829P,nan,nan
ENSG00000200571,RNU6-1284P,106480126,nan
